ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788473975.7,0,0.0000,0.0000,0.0000,164
1788473975.7,1,0.0000,0.0000,0.0000,17
1788473976.7,0,0.0000,0.0000,0.0000,164
1788473976.7,1,0.0000,0.0000,0.0000,17
1788473977.7,0,0.0000,0.0000,0.0000,164
1788473977.7,1,0.0000,0.0000,0.0000,17
1788473978.7,0,0.0000,0.0000,0.0000,164
1788473978.7,1,0.0000,0.0000,0.0000,17
1788473979.7,0,0.0000,0.0000,0.0000,164
1788473979.7,1,0.0000,0.0000,0.0000,17
1788473980.7,0,0.0000,0.0000,0.0000,164
1788473980.7,1,0.0000,0.0000,0.0000,17
1788473981.7,0,0.0000,0.0000,0.0000,164
1788473981.7,1,0.0000,0.0000,0.0000,17
1788473982.7,0,0.0000,0.0000,0.0000,164
1788473982.7,1,0.0000,0.0000,0.0000,17
1788473983.7,0,0.0000,0.0000,0.0000,164
1788473983.7,1,0.0000,0.0000,0.0000,17
1788473984.7,0,0.0000,0.0000,0.0000,164
1788473984.7,1,0.0000,0.0000,0.0000,17
1788473985.7,0,0.0000,0.0000,0.0000,164
1788473985.7,1,0.0000,0.0000,0.0000,17
1788473986.7,0,0.0000,0.0000,0.0000,164
1788473986.7,1,0.0000,0.0000,0.0000,17
1788473987.7,0,0.0000,0.0000,0.0000,164
1788473987.7,1,0.0000,0.0000,0.0000,17
1788473988.7,0,0.0000,0.0000,0.0000,751
1788473988.7,1,0.0000,0.0000,0.0000,605
1788473989.7,0,0.0000,0.0000,0.0000,16401
1788473989.7,1,0.0000,0.0000,0.0000,16015
1788473990.7,0,0.0000,0.0000,0.0010,16401
1788473990.7,1,0.0000,0.0000,0.0010,16015
1788473991.7,0,0.0000,0.0000,0.0010,16401
1788473991.7,1,0.0000,0.0000,0.0010,16015
1788473992.7,0,0.0000,0.0000,0.0010,16401
1788473992.7,1,0.0000,0.0000,0.0010,16015
1788473993.7,0,0.0000,0.0000,0.0010,16401
1788473993.7,1,0.0000,0.0000,0.0010,16015
1788473994.7,0,0.0000,0.0000,0.0010,16401
1788473994.7,1,0.0000,0.0000,0.0010,16015
1788473995.7,0,0.0000,0.0000,0.0010,16401
1788473995.7,1,0.0000,0.0000,0.0010,16015
1788473996.7,0,0.0000,0.0000,0.0010,16401
1788473996.7,1,0.0000,0.0000,0.0010,16015
1788473997.7,0,0.0000,0.0000,0.0010,16401
1788473997.7,1,0.0000,0.0000,0.0010,16015
1788473998.7,0,0.0000,0.0000,0.0010,16401
1788473998.7,1,0.0000,0.0000,0.0010,16015
1788473999.7,0,0.0000,0.0000,0.0010,16401
1788473999.7,1,0.0000,0.0000,0.0010,16015
1788474000.7,0,0.0000,0.0000,0.0010,16401
1788474000.7,1,0.0000,0.0000,0.0010,16015
